id,sentence,eng_result,kor_result
10050,특히 2019년에 상해죄 등으로 징역형의 집행유예 판결을 선고받았음에도 그 집행유예 기간 중 다시 이 사건 범행에 이르렀다.,"In particular, even though he was sentenced to probation of imprisonment for injury in 2019, he reached the crime of this case again during the probation period.",특히 2019년 상해죄로 징역형의 집행유예를 선고받았음에도 집행유예 기간에 다시 이 사건 범행에 도달했다.
10055,집행유예 2년(이 사건 범행 당시 불상의 물건을 이용한 범행수법 등에 비추어 죄질이 가볍지 않은 점,"Two years of probation (the fact that the crime is not light in light of the crime method, etc. using the object of Buddha at the time of the crime in this case)",집행유예 2년(이 사건 범행 당시 부처의 목적물을 이용한 범행방법 등에 비추어 죄질이 가볍지 않다는 점)
10055,피고인은 동종의 폭력 범죄로 처벌받은 전력이 다수 있는 점 등의 불리한 정상이 있으나,"The defendant has a history of being punished for the same kind of violent crime, but there is an unfavorable norm",피고인은 동종 강력범죄로 처벌받은 전력이 있지만 불리한 규범이 있다.
10086,피고인은 형사처벌전력 없는 초범이고,The defendant is a first-time offender with no criminal record,피고는 전과가 없는 초범이다.
10093,피고인은 이 사건 전에도 폭력 범행으로 2회 벌금형의 처벌을 받은 전력이 있다.,"Even before this case, the Defendant had a history of being fined twice for violent crimes.",이 사건 이전에도 피고인은 강력범죄로 두 차례 벌금형을 선고받은 전력이 있다.
10103,피고인에게 동종 전과가 수회 있는 점,The fact that the Defendant has several criminal records of the same kind,피고가 동종의 전과가 여러 건 있다는 사실은
10106,2004년경 징역형의 집행유예의 처벌을 받은 외에 벌금형을 초과하는 처벌전력이 없다.,There is no history of punishment exceeding fines except for being punished by probation of imprisonment around 2004.,2004년경 징역형의 집행유예로 처벌받은 것을 제외하고는 벌금을 초과한 처벌 이력이 없다.
10125,2014년 이후부터 각종 위법행위로 2차례 징역형의 집행유예 처벌을 받은 것을 비롯하여 여러 차례 처벌받은 전력이 있는 점,"Since 2014, he has been punished several times, including two suspended prison sentences for various illegal acts",2014년부터 각종 불법행위로 집행유예 2개를 받는 등 여러 차례 처벌을 받았다.
10128,○ 불리한 정상: 폭행 등 폭력범죄로 형사처벌을 받은 전력이 있음에도 별다른 이유 없이 피해자를 폭행하였던바,○ Adverse normal: He assaulted the victim for no particular reason even though he had a history of criminal punishment for violent crimes such as assault,○ 역정규격: 폭행 등 강력범죄로 형사처벌을 받은 전력이 있는데도 특별한 이유 없이 피해자를 폭행한 것이다.
10128,○ 유리한 정상: 동종 범죄로 벌금형을 초과하는 형사처벌을 받은 적이 없는 점,○ Advantageously normal: No criminal punishment exceeding a fine for a crime of the same kind has been received,○ 유리하게 정상: 동종 범죄에 대한 벌금을 초과하는 형사처벌은 받지 않았다.
10138,피고인에게 폭력 범죄로 벌금형을 초과하는 처벌을 받은 전력은 없는 점 및 그 밖에 피고인의 연령,"The fact that the Defendant has no history of being punished in excess of a fine for a violent crime, and the age of the Defendant",피고인이 강력범죄에 대한 벌금을 초과하여 처벌받은 전력이 없다는 사실과 피고인의 나이
10149,피고인은 폭력범죄 및 공무집행방해죄로 징역형의 집행유예로 2회 처벌받은 적이 있다.,The Defendant was punished twice for a suspended prison term for violent crimes and obstruction of justice.,피고인은 강력범죄와 공무집행방해죄로 집행유예를 두 번 선고받았다.
10149,특히 이 사건은 그로 인한 집행유예기간 중에 범하여 비난의 여지가 크다.,"In particular, this case is highly likely to be criticized for committing it during the probation period.",특히 이번 사건은 집행유예 기간에 이를 저질러 비판을 받을 가능성이 크다.
38,피고인이 피해자와의 동업관계를 정리하기로 합의하면서 합의금을 지급하였고,The Defendant agreed to settle the partnership with the Victim and paid the settlement money,피고는 피해자와 동업관계를 청산하기로 합의하고 합의금을 지급하였다.
38,이로써 피해자가 피고인에 대한 처벌을 원하지 않고 있다.,"As a result, the victim does not want to punish the defendant.",결과적으로 피해자는 피고인을 처벌하기를 원하지 않는다.
105,피해자로부터 용서받지 못한 점은 불리한 정상이다.,The fact that the victim has not been forgiven is unfavorable normal.,피해자가 용서받지 못했다는 사실은 정상적이지 않다.
532,- 피해자로부터 용서받지 못하였고,- He's not forgiven by the victim,- 그는 피해자에게 용서받지 못한다.
532,피해자가 엄벌을 탄원하고 있다.,The victim is pleading for severe punishment.,피해자는 엄벌을 호소하고 있다
876,피고인이 피해자에게 상당금을 지급하면서 원만히 합의하여,The defendant agreed amicably to pay a considerable amount to the victim,피고는 피해자에게 상당한 금액을 지불하는 것에 우호적으로 동의했다.
876,피해자가 피고인의 처벌을 원하지 않는 점,The fact that the victim does not want to punish the defendant,피해자가 피고인을 처벌하기를 원하지 않는다는 사실
1088,피해자와 합의하여 피해자가 피고인에 대한 처벌을 원하고 있지 않은 점,The fact that the victim does not want to be punished against the Defendant in an agreement with the Victim,피해자와 합의한 피고인에 대한 처벌을 피해자가 원하지 않는다는 사실
1088,피고인의 가족이 피고인에 대한 선처를 탄원하고 있는 점 등 피고인에게 유리한 정상이 있고,"There is a summit in favor of the Defendant, such as the fact that the Defendant's family is pleading for leniency against the Defendant",피고인의 가족이 피고인에게 선처를 호소하는 등 피고인에게 유리한 정상회담이 있다.
1113,피고인이 피해자와 합의하지 못하였고,"The defendant failed to reach an agreement with the victim,","피고는 피해자와 합의에 이르지 못하였고,"
1113,피해자가 피고인에 대한 엄벌을 탄원하고 있다.,The victim is pleading for severe punishment against the accused.,피해자는 피고인에 대한 엄벌을 호소하고 있다
1128,피고인은 피해자로부터 용서받지 못하였다.,The defendant was not forgiven by the victim.,피고는 피해자에게 용서받지 못했다.
2000,합의 또는 피해회복 여부,Agreements or damage,계약 또는 손상
2143,범행 후의 정황(폭행사건 피해자와 합의),Situation after the crime (agreement with the victim of the assault case),범행 후의 상황(폭행사건 피해자와 합의)
2566,이 사건 범행으로 폭행을 당한 경찰관이 피고인을 상대로 손해배상 지급명령을 신청하였고,A police officer who was assaulted by the crime in this case applied for an order to pay damages against the Defendant,이 사건 폭행을 당한 경찰관은 피고인에게 손해배상명령을 신청하였다.
3263,- 피해자와 합의하였다.,- It was agreed with the victim.,- 그것은 피해자와 합의되었다.
3344,○ 유리한 정상 : 피고인이 피해자 측과 합의하여 피해자 측이 피고인에 대한 처벌을 원하지 않는다.,"○ Advantageously normal: The Defendant agreed with the Victim, so the Victim does not want to punish the Defendant.",○ 유리하게 정상: 피고는 피해자의 의견에 동의했기 때문에 피해자는 피고를 처벌하기를 원하지 않는다.
3579,피고인이 피해자와 원만히 합의한 점,the point of amicable agreement between the accused and the victim,피고인과 피해자 사이의 우호적인 합의점
3718,피해자 측과 합의하거나 피해자 측으로부터 용서받지 못한 점은 피고인에게 불리한 정상이다.,It is normal to agree with the victim or not be forgiven by the victim.,피해자에게 동의하거나 피해자에게 용서받지 못하는 것이 정상이다.
3718,피해자 측과 합의한 점,Agreements with the victim's side,피해자 측과의 합의 사항
3754,아직까지 피해자와 별다른 합의에 이르지 못하였다.,"So far, no agreement has been reached with the victim.",현재까지 피해자와 합의가 이뤄진 것은 없다.
3792,- 피해자에게 상당한 금원을 지급하고 용서받은 점,- The fact that he was forgiven for paying a considerable amount of money to the victim,- 피해자에게 상당한 액수의 돈을 지불한 것을 용서받았다는 사실
3912,피고인이 피해자와 합의하여 피해자가 피고인의 처벌을 원하지 않는다.,"The Defendant agrees with the Victim, so the Victim does not want to punish the Defendant.",피고인은 피해자의 의견에 동의하므로 피해자는 피고인을 처벌하기를 원하지 않습니다.
6065,피해금액이 500만 원으로 그리 많지는 않을 뿐 아니라 피해자와 합의하여 피해자가 피고인의 선처를 탄원하는 점,"The amount of damage is not so large at 5 million won, and the victim pleads for the defendant's leniency in agreement with the victim","피해액이 500만원으로 그리 크지 않고, 피해자가 피해자와 합의해 피고인의 선처를 호소한다."
6390,S에게 피해금액을 변제하고 합의한 점,The point of agreement after reimbursement of the damage amount to S,S에게 손해액을 변제한 후의 합의점
6470,피해자와 원만히 합의하여 피해자가 피고인에 대한 처벌을 원하지 않고 있다.,The victim does not want to be punished against the Defendant by amicable agreement with the victim.,피해자는 피해자와의 원만한 합의로 피고인에 대한 처벌을 원하지 않는다.
6500,피해자와 합의가 이루어졌다.,An agreement was reached with the victim.,피해자와 합의에 도달했다.
6713,피해금액을 모두 변제하고 합의하였으며,All damages were reimbursed and agreed,모든 손해는 배상되었고 합의되었다.
6880,3. 선고형의 결정: 피고인이 피해자와 합의하여 피해자가 처벌불원의 의사를 표시한 점,3. Decision of sentencing: The fact that the Defendant agreed with the Victim and the Victim expressed his/her intention not to punish him/her,"3. 선고의 결정: 피고인이 피해자와 합의한 점, 피해자가 처벌하지 않겠다는 의사를 밝힌 점 등"
6880,500만 원만 변제하였고 나머지 금액은 매월 150만 원씩 변제하기로 약속하여 피해자와 합의하였다는 것이어서 피해자의 피해액의 상당부분이 여전히 회복되지 아니한 점,"The fact that only KRW 5 million was reimbursed, and that the remaining amount was agreed with the victim by promising to reimburse KRW 1.5 million per month, so much of the victim's damage was still not recovered","500만원만 변제됐고, 나머지 금액은 월 150만원을 변제하기로 약속해 피해자와 합의한 점 등은 여전히 피해자의 피해액 상당 부분이 회복되지 않고 있다."
6910,500만 원을 변제받고 피고인에 대한 처벌불원의사가 기재된 합의서를 이 법원에 제출한 점,The fact that 5 million won was reimbursed and an agreement was submitted to this court stating the intention of non-punishment against the Defendant,500만원을 변제하고 피고인에 대한 처벌불원의 의사를 기재한 합의서를 이 법원에 제출한 사실
7578,이상의 이유로 이 사건을 피고인의 희망에 따라 국민참여재판을 거쳐 주문과 같이 판결한다.,"For the above reasons, this case is judged as per Disposition after a public participation trial according to the Defendant's wishes.",위와 같은 이유로 이 사건은 피고인의 의사에 따라 국민참여재판을 거쳐 처분에 따라 판단된다.
7585,피해자로부터 용서받지 못하였고 피해 회복이 이루어지지 않은 점,The fact that the victim has not been forgiven and that the damage has not been recovered,피해자가 용서받지 못하였다는 사실과 피해를 회복하지 못하였다는 사실
7920,피해자로부터 용서받은 점,The forgiveness of the victim,피해자의 용서는
7920,피고인이 반성하는 태도를 보이고 배우자 등도 선처를 탄원하는 점,The fact that the Defendant shows an attitude of reflection and the spouse also pleads for leniency,피고가 반성하는 태도를 보이고 배우자도 선처를 호소하는 점은
8107,피해자와 합의한 점,an agreement with the victim,피해자와의 합의
8244,그럼에도 피해자와 합의하거나 피해회복이 이루어지지 않은 점,"Nevertheless, the fact that no agreement with the victim or recovery of the damage has been made",그럼에도 불구하고 피해자와의 합의나 피해회복이 이루어지지 않았다는 사실은
8370,그럼에도 피해 회복이 제대로 되지 않았으며 피해자로부터 용서받지 못한 점,"Nevertheless, the damage was not recovered properly and the victim was not forgiven",그럼에도 피해 복구가 제대로 이뤄지지 않았고 피해자도 용서받지 못했다.
9748,피해자로부터 용서를 받지 못한 점,I didn't get forgiveness from the victim,나는 피해자로부터 용서를 받지 못했다.
10192,피고인은 피해자로부터 용서받지도 못했다.,The defendant was not even forgiven by the victim.,피고는 피해자에게 용서조차 받지 못했다.
0,피해자와 합의하여 피해자가 피고인의 처벌을 원하지 않는 점,The fact that the victim does not want to punish the Defendant by agreeing with the Victim,피해자가 피해자와 합의하여 피고인을 처벌하려 하지 않는 점
3,3. 선고형의 결정: 피해자와 합의에 이르지 못하였고 피해자가 피고인에 대한 엄벌을 탄원하고 있는 점의 불리한 정상과 피고인이 이 사건 범행을 시인하고 있는 점,"3. Decision of sentencing: The fact that the victim has not reached an agreement with the victim and that the victim is pleading for severe punishment against the Defendant, and the fact that the Defendant acknowledges the crime in this case","3. 선고의 결정: 피해자가 피해자와 합의에 이르지 못한 점과 피해자가 피고인에게 엄중한 처벌을 호소하고 있다는 점, 이 사건 피고인이 범죄사실을 인정한다는 점,"
7,피고인의 엄벌을 탄원하고 있다.,The defendant is pleading for severe punishment.,피고는 엄벌을 호소하고 있다.
15,피고인은 공소제기 이후 피해자에게 500만 원을 지급하고 피해자와 합의하였고,"After filing an indictment, the Defendant paid KRW 5 million to the Victim and agreed with the Victim",피고는 공소제기 후 피해자에게 500만원을 지급하고 피해자와 합의하였다.
15,피해자의 처벌불원의사가 기재된 합의서가 2021. 3. 17. 이 법원에 제출된 점 등,"The fact that the agreement stating the victim's intention to not punish was submitted to this court on March 17, 2021, etc",2021. 3. 17. 이 법원에 피해자의 처벌불원 의사를 기재한 합의서가 제출된 점 등
16,피해자와 합의되지 않고 용서받지 못한 점,Unconsensual and unpardonable points with the victim,피해자와의 비양심적이고 용서할 수 없는 점들
17,피해자와 합의되지 않은 점,points of disagreement with the victim,피해자와 의견이 일치하지 않는 점
28,피고인이 피해자와 원만히 합의하여 피해자가 이 법원에 피고인의 처벌을 원하지 않는다는 의사를 밝힌 점,The fact that the Defendant agreed amicably with the Victim and that the Victim did not want the Defendant's punishment to this court,"피고인이 피해자와 우호적으로 합의하고, 피해자가 피고인의 처벌을 이 법원에 원하지 않았다는 사실"
37,피고인이 피해자를 추행하고도 피해자로부터 용서받지도 못하였다.,"Even though the Defendant molested the victim, he/she was not forgiven by the victim.",피고인이 피해자를 추행했음에도 피해자로부터 용서받지 못했다.
40,- 피고인이 피해자로부터 용서받지 못하였을 뿐 아니라,"- Not only was the defendant not forgiven by the victim,",- 피고는 피해자에게 용서받지 못했을 뿐만 아니라
60,피고인은 피해회복을 위한 충분한 조치를 취하지 못하여 피해자로부터 범행을 용서받지도 못하였다.,"The Defendant did not take sufficient measures to recover from the damage, so he/she could not be forgiven for the crime by the victim.",피고인은 피해 회복을 위한 충분한 조치를 취하지 않았기 때문에 피해자로부터 범죄를 용서받을 수 없었다.
63,피해자와 수사단계에서 합의한 점,Agreed with the victim at the investigation stage,수사 단계에서 피해자와 합의했습니다.
74,피해자로부터 용서받지도 못해,I'm not even forgiven by the victim,난 피해자에게 용서받지도 못해
144,피고인이 피해자와 합의하여 피해자가 피고인에 대한 처벌을 원하지 않는 점,The fact that the Defendant agrees with the Victim and the Victim does not want to punish the Defendant,피고인이 피해자의 의견에 동의하고 피해자가 피고인을 처벌하기를 원하지 않는다는 사실
148,피해자와 합의한 점을 유리한 정상으로 각 참작하고,"Taking into account the agreements made with the victim as favorable normal,","피해자와 합의한 사항을 통상적으로 유리한 것으로 보아,"
169,피고인에 대한 엄벌을 탄원하고 있다.,He is pleading for severe punishment against the accused.,그는 피고인에 대한 엄벌을 호소하고 있다
178,피해자와 그 가족은 피고인의 처벌을 강력히 탄원하고 있다.,The victim and his family are strongly pleading for the defendant's punishment.,피해자와 가족들은 피고인의 처벌을 강력히 호소하고 있다.
197,피해자로부터 용서를 받지 못한 점 등,"Failure to obtain forgiveness from the victim, etc",피해자 등으로부터 용서를 얻지 못한 경우
202,피해자에게 합의금 8,Settlement money 8 for the victim,피해자에 대한 합의금 8.
202,000원을 지급하고 용서받아 피해자가 피고인의 선처를 바라고 있다.,The victim wants the defendant's leniency after paying KRW 000 and being forgiven.,피해자는 000원을 지불하고 용서를 받은 후 피고인의 선처를 원한다.
204,피해자들로부터 용서를 받은 점은 유리한 정상으로 참작하고,The forgiveness of the victims is considered to be a favorable normal,피해자들의 용서는 호의적인 정상으로 간주된다.
207,피해자와 합의하여 피해자가 피고인의 처벌을 원하지 아니한다는 의사를 표시하였던 점,The fact that the victim agreed with the victim and expressed his intention not to punish the Defendant,피해자가 피해자와 합의하여 피고인을 처벌하지 않겠다는 의사를 밝힌 점
210,500만 원을 지급하기로 하고 합의에 이르러 피해자가 피고인의 처벌을 원하지 않는 점,The fact that the victim does not want to punish the Defendant after agreeing to pay 5 million won,피해자가 피고인에게 500만원을 지급하기로 합의한 후 처벌을 원하지 않는다는 사실
219,피해자와 원만히 합의하여 피해자가 피고인의 처벌을 원하지 않는다.,The victim does not want to be punished by the Defendant by amicably agreeing with the victim.,피해자는 피해자와 우호적으로 합의함으로써 피고에게 처벌받기를 원하지 않는다.
241,피해자와 합의되어 피해자가 피고인의 처벌을 원치 않는 점,The fact that the victim does not want to punish the Defendant because it is agreed with the victim,피해자가 피고인과 합의하여 처벌하기를 원하지 않는 점
242,피해가 회복되지 않았고 피해자로부터 용서받지도 못하였다.,The damage was not recovered and was not forgiven by the victim.,피해는 회복되지 않았고 피해자가 용서하지 않았다.
245,피해자로부터 용서를 받지 못한 점은 불리한 정상이다.,It is disadvantageous to not receive forgiveness from the victim.,피해자로부터 용서를 받지 못하는 것은 불리하다.
251,피고인은 이 사건 공판과정에서 피해자와 원만히 합의하였고,The Defendant agreed amicably with the Victim during the trial in this case,피고는 이 사건 재판에서 피해자와 우호적으로 합의하였다.
251,피해자는 피고인에 대한 처벌을 원하지 않고 피고인에 대한 선처를 희망한다는 의사를 표시하였다.,The victim expressed his intention not to punish the Defendant but to wish for leniency against the Defendant.,피해자는 피고인을 처벌하지 않고 피고인에 대한 선처를 바란다는 의사를 밝혔다.
252,다만 피고인이 피해자와 합의하여 피해자가 피고인의 처벌을 원치 않는다는 태도를 보이고 있다.,"However, the Defendant has agreed with the Victim and is showing an attitude that the Victim does not want to punish the Defendant.",그러나 피고인은 피해자와 합의하여 피해자가 피고인을 처벌하기를 원하지 않는다는 태도를 보이고 있다.
254,② 피해자가 이 사건으로 입은 피해의 정도가 크고 그 피해가 회복되지 않은 채 이어져왔다고 볼 수 있다(공판기록에 피해자 국선변호사를 통해 2021. 2. 17. 첨부된 탄원서 참조).,"② It can be said that the extent of the damage suffered by the victim in this case is large and the damage has not been recovered (see the petition attached on February 17, 2021 through the victim's public defender in the trial record).","② 이 사건 피해자가 입은 피해의 정도가 크고, 그 피해가 회복되지 않았다고 할 수 있다(재판기록상 피해자 국선변호인을 통하여 2021. 2. 17. 첨부된 진정 참조)."
254,㉢ 공판중 피해자와 합의하여(공판기록에 피해자 국선변호사를 통해 2021. 3. 30. 첨부된 합의서 참조) 피해자가 피고인의 처벌을 바라지 않는 점을 참작하고,"㉢ Considering that the victim agreed with the victim during the trial (see the attached agreement on March 30, 2021, through the victim's public defender in the trial record), the victim does not want the Defendant's punishment","㉢ 재판 과정에서 피해자가 피해자와 합의한 점(재판기록상 피해자의 국선변호인을 통하여 2021. 3. 30. 첨부된 합의문 참조)을 고려할 때, 피해자는 피고인의 처벌을 원하지 않는다."
277,피고인은 피해자의 면전에서 자신의 혐의를 인정하는 진술을 하였는데 이후 그 진술을 번복함으로 인해 피해자가 피고인에 대하여 처벌을 원한다는 의사를 표시하게 되었고 처벌 의사와 관련된 합의 또는 피해회복을 위해 별다른 조치 등을 한 바 없는 점 등 불리한 정상도 인정되는바,"The Defendant made a statement acknowledging his/her charges in the victim's face, but later reversed the statement, expressing the victim's intention to punish the Defendant, and it is recognized as unfavorable, such as no agreement or no action to recover from the damage","피고인은 피해자 면전에서 자신의 혐의를 인정하는 진술을 했으나 이후 이를 번복해 피해자를 처벌하겠다는 의사를 밝혔고, 피해회복을 위한 합의나 조치가 없는 등 불리하다고 인정된다."
280,피해자들로부터 용서를 받지 못하였다.,I was not forgiven by the victims.,나는 피해자들에게 용서받지 못했다.
281,그럼에도 불구하고 피고인은 아직까지 피해자로부터 이 사건 범행을 용서받지 못하고 있다.,"Nevertheless, the Defendant has not yet been forgiven for the crime in this case by the victim.",그럼에도 불구하고 피고인은 이 사건 범죄에 대하여 피해자에 의하여 아직 용서받지 못하였다.
286,○ 유리한 정상: 이 사건 재판과정에서 피해자에게 합의금을 지급하고 합의하여 피해자가 피고인에 대한 처벌을 원하지 않는다는 의사를 표시하였다.,"○ Advantageous summit: In the course of the trial in this case, a settlement was paid to the victim and agreed, expressing the intention that the victim did not want to punish the Defendant.",○ 유리한 정상회담: 이 사건 재판 과정에서 피해자에게 합의금을 지급하고 합의해 피해자가 피고인을 처벌하고 싶지 않다는 의사를 밝혔다.
302,피고인이 피해자로부터 용서받지 못한 점,The fact that the defendant was not forgiven by the victim,피고인이 피해자에게 용서받지 못했다는 사실
304,○ 피해자로부터 용서받지 못하였다.,○ Not forgiven by the victim.,○ 피해자에게 용서받지 못했어요
329,피해자 D과는 합의하여 위 피해자가 피고인에 대한 처벌을 원하지 않고 있다.,"In agreement with Victim D, the above Victim does not want to punish the Defendant.",위 피해자는 피해자 D와 합의하여 피고인을 처벌하기를 원하지 아니한다.
330,피고인이 피해자에게 사죄하고 피해자와 원만히 합의하여 피해자가 이 법원에 피고인의 처벌을 원하지 않는다는 의사를 밝힌 점,"The fact that the Defendant apologized to the Victim and agreed amicably with the Victim, and that the Victim expressed his intention to this court that he did not want the Defendant's punishment","피고인이 피해자에게 사과하고 피해자와 우호적으로 합의한 점, 피해자가 피고인의 처벌을 원하지 않는다는 의사를 본 재판부에 밝힌 점,"
332,[특별 양형 인자] 없음(피해자는 수사단계에서 피고인으로부터 합의금을 받고 고소 취소 및 합의서를 제출한 바 있으나,[Special sentencing factor] None (The victim received a settlement from the Defendant during the investigation stage and canceled the complaint and submitted an agreement),[특별징역] 없음(피해자가 수사단계에서 피고인으로부터 합의금을 받고 고소를 취소하고 합의서를 제출함)
332,[일반 양형 인자] 상당 금액 공탁(피고인이 합의금을 지급하였으므로 이를 상당 금액 공탁에 상응하는 것으로 본다),"[General Sentencing Factor] Deposit of a considerable amount (Since the Defendant paid the settlement money, it is deemed to correspond to the deposit of a considerable amount)",[일반형질요인] 상당액의 공탁(피고가 합의금을 지급하였으니 상당액의 공탁에 해당하는 것으로 본다)
332,이에 피해자는 수사 단계에서 피고인과 합의하였음에도 불구하고 이 법정에서는 다시 피고인의 처벌을 원하는 의사를 표시하고 있다.,"Accordingly, even though the Victim agreed with the Defendant at the investigation stage, the court again expresses its intention to punish the Defendant.",이에 따라 피해자가 수사단계에서 피고인과 합의했음에도 법원은 다시 피고인을 처벌하겠다는 의사를 밝히고 있다.
332,수사 단계에서 피해자에게 합의금을 지급하였던 점 등을 유리한 정상으로 참작하여,"Taking into account the fact that the settlement money was paid to the victim during the investigation stage, etc",수사단계에서 합의금이 피해자에게 지급된 점 등을 참작하여
335,다만 피고인이 이 사건 범행에 관하여 깊이 반성하고 피해자와 합의하여 피해자가 피고인의 처벌을 원하지 않는 점 등은 피고인에게 유리한 정상이다.,"However, the fact that the Defendant deeply reflected on the crime in this case and agreed with the Victim, and the Victim did not want to punish the Defendant is normal in favor of the Defendant.","다만 피고인이 이 사건 범행을 깊이 반성하고 피해자와 합의하고, 피해자가 피고인을 처벌하려 하지 않은 점은 피고인에게 유리한 것이 정상이다."
342,피고인은 피해자들로부터 용서받지 못하였고,The defendant was not forgiven by the victims,피고는 피해자들에 의해 용서받지 못했다.
352,피고인이 피해 배상을 하거나 피해자와 합의하지 않았다.,The defendant did not compensate for the damage or agree with the victim.,피고인은 피해를 배상하거나 피해자와 합의하지 않았다.
362,피고인의 가족이 피고인에 대한 선처를 탄원하고 있다.,The defendant's family is pleading for leniency against the defendant.,피고의 가족은 피고에게 선처를 호소하고 있다.
395,판시 『2021고단1398』사건의 피해자 E은 피고인에 대한 처벌을 원하지 않는다는 의사를 표시한 점과 이 사건 각 추행의 방법 및 내용,"Victim E of the 2021 Godan 1398 case expressed his intention not to punish the Defendant, and the method and content of each harassment in this case","2021년 고단1398사건의 피해자 E는 피고인을 처벌하지 않겠다는 의사를 밝혔으며, 이 사건 각 괴롭힘의 방법과 내용은"
403,그럼에도 현재까지 피고인은 피해 회복을 하거나 피해자로부터 용서받지도 못하였다.,"Nevertheless, until now, the Defendant has not recovered from the damage or been forgiven by the victim.",그럼에도 불구하고 지금까지 피고인은 피해로부터 회복되지 아니하였거나 피해자로부터 용서를 받지 못하였다.
407,피해자로부터 용서받지 못한 점 등에 비추어 피고인에 대하여 엄중한 처벌이 필요하다.,"In light of the fact that it has not been forgiven by the victim, severe punishment is required for the Defendant.",피해자로부터 용서받지 못한 사실에 비추어 피고인에 대한 엄벌이 요구된다.
418,[유리한 정상] 합의하여 피해자가 피고인의 처벌 원하지 않는다.,[Interesting normal] The victim does not want to punish the Defendant by agreeing.,[흥미로운 평범함] 피해자는 피고인을 동의함으로써 처벌하기를 원하지 않는다.
437,피해자에게 합의금 3,Settlement 3 for the victim,피해자를 위한 합의서 3
467,피고인이 피해자를 상대로 두차례에 걸쳐 피해자에게 성적 수치심을 줄 수 있는 행위를 하고도 피해자와 합의하지 못하였기에 엄벌이 필요하나,Strict punishment is necessary because the Defendant failed to agree with the Victim even after two acts against the Victim that could cause sexual shame,성적 수치심을 유발할 수 있는 피해자에 대한 두 가지 행위에도 피고인이 피해자와 합의하지 못했기 때문에 엄격한 처벌이 필요하다.
467,다수의 지인이 피고인의 선처를 탄원하고 있는 점 등 유리한 정상도 인정되는바,"The favorable summit is also recognized, such as the fact that a number of acquaintances are pleading for the defendant's leniency",다수의 지인들이 피고인의 선처를 호소하는 등 우호적인 정상회담도 인정된다.
485,피해자에게 용서받지 못하였고 피해자가 피고인의 엄벌을 탄원하고 있는 점,The fact that the victim has not been forgiven and that the victim is pleading for severe punishment of the Defendant,피해자가 용서받지 못하였다는 사실과 피해자가 피고인을 엄벌할 것을 호소하고 있다는 사실
491,피고인이 피해자로부터 용서받지 못한 점 등은 불리한 정상이다.,The fact that the defendant was not forgiven by the victim is unfavorable.,피고인이 피해자에게 용서받지 못했다는 점은 불리하다.
491,이후 피해자가 자필로 작성하여 2017. 11. 13.경 수사기관에 제출한 엄벌탄원서에도 '피고인이 팬티 안으로 손을 넣어서 자신의 성기를 만졌다.'라고 기재하였을 뿐이고(수사기록 제47쪽),"Afterwards, the victim wrote in his own handwriting and submitted a severe petition to the investigative agency around November 13, 2017 only stated, ""The defendant put his hand into his underwear and touched his genitals."" (Investigation record page 47)","이후 피해자는 자필로 작성해 2017. 11. 13.경 수사기관에 엄중한 진정서를 제출하면서 ""피고인이 속옷에 손을 집어넣고 생식기를 만졌다""(수사기록 47페이지)고만 기재했다."
491,수사기관이 당연히 피고인이 손가락을 자신의 성기 안으로 삽입하였다고 생각할 줄 알았다.'라는 취지의 엄벌탄원서(수사기록 제266쪽)를 제출하면서부터 유사강간에 명확히 부합하는 내용의 피해 진술을 하였다.,"Since the investigative agency submitted a petition for severe punishment (page 266) to the effect that ""I knew the Defendant would think that he/she inserted his/her finger into his/her genitals,"" he/she made a statement of damage clearly consistent with similar rape.",수사기관이 '피고인이 자신의 성기에 손가락을 집어넣었다고 생각할 줄 알았다'는 취지의 중징계 청원서(266쪽)를 제출했기 때문에 유사 강간과 명백히 일치하는 피해 진술을 했다.
491,수사기관에서 작성한 진술조서가 아닌 피해자가 자필로 작성한 엄벌탄원서 내지 추가 진술서에도 피고인의 유사강간 범행사실이 구체적으로 기재되어 있지 않은데,"The defendant's similar rape crimes are not specifically stated in the victim's handwritten petition or additional statement, not in the statement prepared by the investigative agency",피고인의 유사강간죄는 수사기관이 작성한 진술서가 아니라 피해자의 자필 진정서나 추가 진술서에 구체적으로 기재되어 있지 않다.
491,1) 피해자가 자필로 작성하여 2017. 11. 13.경 수사기관에 제출한 엄벌탄원서에는 '유부남인 피고인이 자신을 이혼남이라고 속였는지를 둘러싸고 피고인과 피해자 사이에 언쟁이 있었고,"1) In the severe punishment petition written by the victim and submitted to the investigative agency around November 13, 2017, there was an argument between the Defendant and the Victim over whether the Defendant, who was married, deceived him/her as a divorced man",1) 피해자가 작성해 2017년 11월 13일경 수사기관에 제출한 엄벌청원에서는 결혼한 피고인이 이혼남이라고 속였는지를 두고 피고인과 피해자 사이에 다툼이 있었다.
